order_id,date,product_id,quantity,unit_price,customer_id,region,product_name,category,supplier,customer_name,age,gender,city,total_sales,year,month,age_group
O000001,2023-10-30,P00253,8,212.21,C01251,West,Blood,Clothing,Johnson and Sons,Antonio Orozco,62,Other,West Larry,1697.68,2023,10,66+
O000002,2023-11-04,P00145,5,395.54,C01006,South,Under,Books,Watson-Lee,Destiny Torres,23,Other,South Kariport,1977.7,2023,11,26-35
O000003,2024-05-05,P00275,9,91.1,C01702,West,West,Toys,Jones and Sons,Devon Wilson,19,Other,Derrickfurt,819.9,2024,5,26-35
O000004,2023-05-14,P00386,5,303.98,C00780,East,Coach,Home,Sandoval Inc,Rachel Ortiz,69,Female,West Courtney,1519.9,2023,5,
O000005,2023-07-17,P00016,9,340.43,C00535,East,Help,Clothing,Rogers-Woodward,Dr. Jessica Reynolds,25,Female,Lambfort,3063.87,2023,7,36-45
O000006,2025-02-16,P00161,1,207.21,C00767,East,Fact,Electronics,Taylor LLC,Morgan Curtis,40,Female,Jameschester,207.21,2025,2,46-55
O000007,2024-03-12,P00079,3,387.1,C01798,East,Their,Beauty,"Smith, Miller and Jones",Noah Morrow,63,Male,Lake Michellefurt,1161.3000000000002,2024,3,66+
O000008,2024-01-14,P00330,6,378.12,C01022,West,Central,Electronics,"Waters, Reynolds and Howard",Damon Boyd,63,Female,South Jeffrey,2268.7200000000003,2024,1,66+
O000009,2025-04-01,P00263,5,274.38,C01686,North,Couple,Electronics,Evans-Butler,Emily Peterson,65,Female,North Ana,1371.9,2025,4,
O000010,2023-06-30,P00244,4,30.09,C00354,East,Short,Books,Hinton Group,Daniel Estes,21,Male,North Ana,120.36,2023,6,26-35
O000011,2024-05-28,P00368,4,311.85,C00135,South,Out,Toys,Martinez-Wilson,James Smith,51,Male,Rowefurt,1247.4,2024,5,56-65
O000012,2023-05-16,P00196,5,139.05,C00156,South,But,Beauty,Kirby PLC,Jeffrey King,30,Female,Lake Christian,695.25,2023,5,36-45
O000013,2024-11-13,P00071,2,100.37,C01017,North,See,Electronics,Baxter PLC,Mark Mccoy,32,Other,Adamborough,200.74,2024,11,36-45
O000014,2024-02-17,P00375,2,384.79,C00611,North,Out,Toys,Navarro Inc,Karen Lopez,41,Other,North Donna,769.58,2024,2,46-55
O000015,2024-04-23,P00208,2,272.02,C00299,South,Child,Toys,Smith Ltd,Miguel Franklin,61,Other,Callahanport,544.04,2024,4,66+
O000016,2024-10-02,P00222,5,487.67,C01805,South,Agreement,Toys,"Stone, West and Burns",Jeremy Farmer DDS,27,Male,Lynnfurt,2438.35,2024,10,36-45
O000017,2024-05-27,P00342,8,102.95,C01573,South,Property,Books,Holden LLC,Emily Merritt,23,Male,New Maryhaven,823.6,2024,5,26-35
O000018,2023-06-16,P00180,9,213.55,C01358,East,Student,Books,Rogers-Woodward,Kathryn Weiss,24,Female,Lake Mistyport,1921.95,2023,6,26-35
O000019,2023-12-08,P00331,5,475.3,C01656,North,Education,Electronics,"Stone, West and Burns",Kelsey Nguyen,48,Female,Reedton,2376.5,2023,12,56-65
O000020,2024-07-20,P00187,8,92.93,C00171,West,People,Electronics,Williams and Sons,Sarah Peters,36,Female,Port Patrick,743.44,2024,7,46-55
